code_name,smiles,solubility
mol_100,CC(C)c1ccccc1,-3.27
mol_1000,Cc1ccc(O)cc1,-0.73
mol_1001,CCOC=O,0.15
mol_1002,CN(C)c1ccccc1,-1.92
mol_1008,C=CC#N,0.15
mol_1013,BrCCBr,-1.68
mol_1032,Brc1ccccc1Br,-3.5
mol_104,ClCCl,-0.63
mol_1045,Sc1ccccc1,-2.12
mol_1048,CSSC,-1.44
mol_1050,Clc1ccccc1Br,-3.19
mol_1058,Cc1ccccc1,-2.21
mol_106,COC=O,0.58
mol_1067,CCCC=O,-0.01
mol_1069,CCCC,-2.57
mol_1070,COc1ccccc1O,-1.96
mol_1076,ICI,-2.34
mol_1082,CC=CC=O,0.32
mol_1083,CN(C)C(=O)N(C)C ,0.94
mol_1089,ClCC,-1.06
mol_109,CC(C)C,-2.55
mol_1092,CC/C=C\C,-2.54
mol_11,O=C1CCCN1,1.07
mol_1101,Oc1ccncc1,1.02
mol_1102,Cl\C=C/Cl,-1.3
mol_1109,CC=C,-1.08
mol_1122,N#Cc1ccccc1C#N,-2.38
mol_1124,FC(F)(F)C(Cl)Br ,-1.71
mol_114,c1ccccc1O,0
mol_121,CCCC(=C)C,-3.03
mol_122,CC(C)C(C)C(C)C,-4.8
mol_123,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
mol_129,c1ccncc1,0.76
mol_13,CCCC=C,-2.68
mol_139,Clc1cccc(I)c1,-3.55
mol_141,CC/C=C/C,-2.54
mol_143,ClC=C(Cl)Cl,-1.96
mol_144,Nc1cccc2ccccc12,-1.92
mol_145,Cc1cccc(C)c1,-2.82
mol_146,Oc2ncc1nccnc1n2,-1.947
mol_147,CO,1.57
mol_149,CCC(=O)C,0.52
mol_153,CCCCCCO,-1.24
mol_155,C=CC=C,-1.87
mol_156,CCCOC(=O)C,-0.72
mol_157,Oc2ccc1CCCCc1c2 ,-1.99
mol_158,NC(=O)CCl ,-0.02
mol_16,CC(C)Cl,-1.41
mol_160,Cc1ccc(Cl)cc1,-3.08
mol_169,CCN(=O)=O,-0.22
mol_17,CCC(C)CO,-0.47
mol_174,CI,-1
mol_18,N#Cc1ccccc1,-1
mol_184,ClCC#N,-0.092
mol_187,c1ccnnc1,1.1
mol_190,Nc1ccccc1O,-0.72
mol_194,CCC(C)Cl,-1.96
mol_197,CCCCC#C,-2.36
mol_199,Cc1ccccc1Cl,-3.52
mol_202,CNN,1.34
mol_203,CC#C,-0.41
mol_206,C=CC=O,0.57
mol_209,Fc1ccccc1,-1.8
mol_210,CCCCl,-1.47
mol_211,CCOC(=O)C,-0.04
mol_213,Cc1cc(C)c(C)c(C)c1C,-4
mol_228,CC(=C)C=C,-2.03
mol_243,ClC(Cl)(Cl)C#N,-2.168
mol_252,CSC,-0.45
mol_253,Cc1ccccc1Br,-2.23
mol_254,CCOC(=O)N,0.85
mol_268,CCCCBr,-2.37
mol_269,Brc1cc(Br)c(Br)cc1Br,-6.98
mol_278,CCS,-0.6
mol_279,ClCC(Cl)Cl,-1.48
mol_288,ClC(Cl)C(Cl)Cl,-1.74
mol_302,CC(Cl)Cl,-1.29
mol_308,ClC(Cl)(Cl)Cl,-2.31
mol_31,CCc1ccc(CC)cc1,-3.75
mol_34,ClC(=C)Cl,-1.64
mol_351,CC(C)O,0.43
mol_353,ClC(Br)Br,-1.9
mol_356,ClCc1ccccc1,-2.39
mol_357,C/C=C/C=O,0.32
mol_36,CCCCC=O,-0.85
mol_364,C1CCC=CC1,-2.59
mol_366,c1cncnc1,1.1
mol_373,Ic1ccccc1,-3.01
mol_387,Nc1nccs1 ,-0.36
mol_404,ClCBr,-0.89
mol_416,C1CCOC1,0.49
mol_424,c1(Br)c(Br)cc(Br)cc1,-4.5
mol_432,C1CCCCC1,-3.1
mol_437,CCSCC,-1.34
mol_438,ClCCCl,-1.06
mol_440,ClCCBr,-1.32
mol_444,Clc1ccccc1,-2.38
mol_446,Brc1ccc(I)cc1,-4.56
mol_45,CC(C)OC=O,-0.63
mol_463,Fc1cccc(F)c1,-2
mol_464,ClCCC#N ,-0.29
mol_467,Clc1ccccc1I,-3.54
mol_475,CC(C)CBr,-2.43
mol_476,CCI,-1.6
mol_485,BrC(Br)Br,-1.91
mol_491,CC(C)Br,-1.59
mol_495,CCC,-1.94
mol_5,c1ccsc1,-1.33
mol_502,Brc1ccc(Br)cc1,-4.07
mol_506,CCOC=C,-0.85
mol_507,CCC#C,-1.24
mol_510,Clc1ccc(Cl)cc1,-3.27
mol_517,CC#N,0.26
mol_520,ClCC(Cl)(Cl)Cl,-2.18
mol_521,CCCCO,0
mol_523,Clc1cc(Cl)cc(Cl)c1,-4.48
mol_527,CC(=C)C,-2.33
mol_528,O=Cc1ccccc1,-1.19
mol_529,CC(=C)C(=C)C,-2.4
mol_532,C1c2ccccc2c3ccccc13,-5
mol_533,CC1CCCCC1,-3.85
mol_539,CCCI,-2.29
mol_541,CCCO,0.62
mol_554,CCCCI,-2.96
mol_557,FC(F)(F)c1ccccc1,-2.51
mol_573,Nc1ccccc1Cl,-1.52
mol_574,COc1cccc(Cl)c1,-2.78
mol_578,BrC(Cl)Cl,-1.54
mol_582,CBr,-0.79
mol_590,Fc1ccccc1Br,-2.7
mol_595,C1CCCC1,-2.64
mol_596,Cc1ccccc1N,-2.21
mol_599,CC(C)C=C,-2.73
mol_601,CC,-1.36
mol_602,Clc1ccccc1Cl,-3.05
mol_606,CC(=O)N,1.58
mol_615,BrCBr,-1.17
mol_627,CC1CO1,-0.59
mol_632,Nc1ccccc1,-0.41
mol_639,CCBr,-1.09
mol_664,ClCCCCl,-1.62
mol_665,Fc1cccc(Br)c1,-2.67
mol_666,Clc1ccc(Br)cc1,-3.63
mol_668,CCC=C,-1.94
mol_671,FC(F)(Cl)C(F)(Cl)Cl,-3.04
mol_672,CCC#N,0.28
mol_681,COc1ccccc1O ,-1.96
mol_690,C=C,-0.4
mol_693,Oc1ccc(Cl)c(Cl)c1Cl,-2.67
mol_694,COc1ccccc1,-1.85
mol_705,Nc1ccc(Cl)cc1,-1.66
mol_707,c1ccoc1,-0.82
mol_715,Brc1ccccc1,-2.55
mol_721,ClC=C,-1.75
mol_723,BrC(Br)(Br)Br,-3.14
mol_733,C1CC=CC1,-2.1
mol_754,C/C1CCCCC1\C,-4.3
mol_763,CC=C(C)C,-2.56
mol_764,Cc1ccc(C)c(C)c1,-3.31
mol_771,CCC=O,0.58
mol_774,ClC(Cl)Cl,-1.17
mol_786,NC(=O)N,0.96
mol_788,Brc1cccc(Br)c1,-3.54
mol_79,CCCBr,-1.73
mol_801,CC(C)N(=O)=O,-0.62
mol_811,C1CCOCC1,-0.03
mol_816,ClCC(C)C,-2
mol_83,NC(=S)N,0.32
mol_831,Cc1ccc(Br)cc1,-3.19
mol_832,CCOCC,-0.09
mol_835,Cc1cc(C)c(O)c(C)c1,-2.05
mol_836,c1ccccc1,-1.64
mol_837,Clc1ccc(I)cc1,-4.03
mol_84,Cc1ccc(C)cc1,-2.77
mol_840,C=Cc1ccccc1,-2.82
mol_841,COCOC,0.48
mol_842,Cc1ccccc1C,-2.8
mol_843,CCC(C)O,0.47
mol_85,CCc1ccccc1CC,-3.28
mol_855,Clc1cccc(Cl)c1,-3.04
mol_858,c1ccccc1SC,-2.39
mol_86,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
mol_88,CCCN(=O)=O,-0.8
mol_882,CNc1ccccc1,-1.28
mol_883,C=CCC=C,-2.09
mol_888,Clc1cccc(Br)c1,-3.21
mol_898,CCc1ccccc1,-2.77
mol_907,Cc1cc2ccccc2cc1C,-4.72
mol_910,NC(N)=NC#N ,-0.31
mol_920,COC(=O)C,0.46
mol_935,C,-0.9
mol_94,CCCOC(C)C,-1.34
mol_941,CN(=O)=O,0.26
mol_954,C#C,0.29
mol_956,C1C=CCC=C1,-2.06
mol_959,CC(Cl)CCl,-1.6
mol_968,Cc1cc(C)cc(C)c1,-3.4
mol_973,CC(C)I,-2.09
mol_981,Fc1ccc(F)cc1,-1.97
mol_984,CCO,1.1
