code_name,solub,smiles,partial charges,mulliken charges,cm5 charges,FUKUI+,FUKUI-,FUKUIrad,s proportion,p proportion,d proportion,Coordination numbers,Dispersion coefficient C6,Polarizability alpha,FOD,FOD s proportion,FOD p proportion,FOD d proportion,DBSTEP_Vbur,total energy,HOMO-LUMO gap/eV,electronic energy,Dipole module/D,Total charge,HOMO,LUMO,Fermi-level/eV,Total dispersion C6,Total dispersion C8,Total polarizability alpha,Total FOD,NHOHCount,FractionCSP3,NOCount,NumAliphaticRings,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,TPSA,MolLogP
mol_5,-1.33,c1ccsc1,,,,,,,,,,,,,,,,,,-13.81704272,3.96345783,-14.01812757,0.835,0,-10.6082,-6.6447,-8.6265,1571.242001,48618.480444,65.064392,0.054,0,0.0,0,0,1,1,0,1,0,0.0,1.748099999999999
mol_6,-1.5,c2ccc1scnc1c2 ,,,,,,,,,,,,,,,,,,-23.69712141,3.32049555,-24.05117096,1.368,0,-10.7667,-7.4462,-9.1064,3805.100039,110856.989023,100.286085,0.1375,0,0.0,1,0,2,2,0,2,0,12.89,2.296299999999999
mol_11,1.07,O=C1CCCN1,,,,,,,,,,,,,,,,,,-19.13959712,4.94364843,-19.36621283,4.422,0,-10.6444,-5.7007,-8.1726,1480.21567,32389.007372,57.257636,0.016,1,0.75,2,1,0,1,1,2,0,29.1,-0.1036
mol_13,-2.68,CCCC=C,,,,,,,,,,,,,,,,,,-15.769380071371316,5.203977633088607,-16.02447681224959,0.437867249998015,0,-10.726088744000192,-5.522158585000278,-8.124111399000231,1663.454587663506,35736.27534439691,62.74152420446155,0.011349062000015,0,0.6000000000000001,0,0,0,0,0,0,3,0.0,1.9725
mol_16,-1.41,CC(C)Cl,,,,,,,,,,,,,,,,,,-14.54702303,6.95834804,-14.6925511,2.341,0,-11.0571,-4.0988,-7.578,1209.289616,31697.531744,52.161938,0.0018,0,1.0,0,0,0,0,0,1,2,0.0,1.6336
mol_17,-0.47,CCC(C)CO,,,,,,,,,,,,,,,,,,-20.886611360501103,11.96627291188647,-21.13904535054801,2.006559538239072,0,-11.000825143624668,0.9654570924550512,-5.017634025584808,2125.618295408088,43664.40929708509,68.07933922819493,0.0,1,1.0,1,0,0,1,1,1,5,20.23,1.0248
mol_18,-1.0,N#Cc1ccccc1,,,,,,,,,,,,,,,,,,-20.39812851,3.98425867,-20.79299392,4.246,0,-11.5139,-7.5296,-9.5217,2515.571142,63231.38999,80.590663,0.0765,0,0.0,1,0,1,1,0,1,0,23.79,1.558279999999999
mol_23,-4.11,CCOP(=S)(OCC)SCSCC,0.361868484316425,0.374590495867468,0.315027503428658,-0.159964269387341,-0.105991067346835,-0.132977668367088,1.519995533673417,2.024,1.080995533673417,3.8989732020405072,145.15273557242278,21.64183251275316,0.018997766836708,0.003,0.007,0.008,59.232401600107615,-44.14040340360737,3.181561213387048,-44.53954847616705,2.462272041375967,0,-10.075950423774938,-6.894439298413037,-8.48514497275215,13102.592678698014,414451.65811453975,180.74912524798637,0.161481018112025,0,1.0,2,0,0,5,0,6,11,18.46,3.727700000000003
mol_24,-2.35,CCOc1ccc(NC(=O)C)cc1,,,,,,,,,,,,,,,,,,-39.10534342952275,3.611913014807643,-39.62863514738569,2.6665397001226703,0,-9.960320198353966,-6.34838669972566,-8.154363821246793,7013.452188497346,161812.94358826804,129.75191586057872,0.092377394551131,1,0.3,3,0,1,2,1,3,5,38.33,2.0437
mol_26,-1.81,CCCCCCCO,,,,,,,,,,,,,,,,,,-27.212461171706067,12.26186902654971,-27.55719714023657,1.986401187007285,0,-11.075120134338066,1.186728841661166,-4.944163657687279,3826.3593129154297,79152.69533164265,91.45246200973052,0.0,1,1.0,1,0,0,1,1,1,7,20.23,1.9491
mol_30,-3.17,CCCCCCCC(=O)OC,,,,,,,,,,,,,,,,,,-36.60204709666217,4.656084773088907,-37.03915030773379,2.240551810172499,0,-11.165714692106986,-6.509700313072618,-8.837704290052725,6178.572141337783,130811.6490377575,116.43504343321784,0.02925502448094,0,0.8888888888888881,2,0,0,2,0,2,8,26.3,2.5199
mol_31,-3.75,CCc1ccc(CC)cc1,,,,,,,,,,,,,,,,,,-28.54806172,4.46200991,-29.02818189,0.15,0,-10.3536,-5.8916,-8.1226,5353.645269,123121.636405,114.407505,0.0422,0,0.4,0,0,1,0,0,0,4,0.0,2.811400000000001
mol_34,-1.64,ClC(=C)Cl,,,,,,,,,,,,,,,,,,-14.36857275,4.40999598,-14.46318645,1.374,0,-11.2926,-6.8826,-9.0876,1123.45351,38781.758166,52.530123,0.029,0,0.0,0,0,0,0,0,2,0,0.0,1.9352
mol_36,-0.85,CCCCC=O,,,,,,,,,,,,,,,,,,-19.847160688085545,3.614776008517776,-20.096963353417408,3.374743565827308,0,-11.02958394041092,-7.414759096066714,-9.222171518238817,1899.9722532935507,40354.19550095491,65.06225171939168,0.065431854503321,0,0.8,1,0,0,1,0,1,4,17.07,1.3755
mol_40,-4.81,CCCCCCCI,,,,,,,,,,,,,,,,,,-26.455944755253512,4.762151715677832,-26.756047953211343,4.002111107988117,0,-10.948853115963692,-6.186686811423609,-8.567732610485518,5731.714975164856,196908.7752378936,117.37295487529116,0.025622944913888,0,1.0,0,0,0,0,0,1,6,0.0,3.391800000000002
mol_42,-0.15,OCCCC=C,,,,,,,,,,,,,,,,,,-19.82639992456442,5.184057268316746,-20.086246573788888,1.803903238570658,0,-10.886777539086832,-5.702712239594148,-8.29474488934049,1958.792609237656,42139.91336946597,67.31409758316744,0.012799999999999,1,0.6000000000000001,1,0,0,1,1,1,4,20.23,0.9449
mol_45,-0.63,CC(C)OC=O,,,,,,,,,,,,,,,,,,-20.77734275,4.7702145,-20.98470654,2.564,0,-11.6983,-6.9281,-9.3132,1552.100946,32781.732924,58.275329,0.0206,0,0.75,2,0,0,2,0,2,3,26.3,0.5678000000000001
mol_46,-1.55,CCCCCC(C)O,,,,,,,,,,,,,,,,,,-27.21709485177382,11.993479650353812,-27.561819746161888,2.024974116325046,0,-10.971194398925237,1.022278474765565,-4.974457962079836,3815.7974103948127,79057.72811463728,91.29599722174024,0.0,1,1.0,1,0,0,1,1,1,7,20.23,1.9475
mol_51,-3.66,CCCCCCC#C,,,,,,,,,,,,,,,,,,-24.201827739732977,6.842096661372386,-24.62949631689388,0.671916266075208,0,-10.793357636841185,-3.951262071635633,-7.372309854238408,3785.113150732632,83344.86980617221,93.0534958457857,0.0031,0,0.75,0,0,0,0,0,0,5,0.0,2.59
mol_56,-0.62,Cc1ccccc1O,,,,,,,,,,,,,,,,,,-23.12216111,4.22382642,-23.47483547,2.01,0,-10.2425,-6.0187,-8.1306,2810.782847,66858.731932,83.848419,0.0436,1,0.142857142857142,1,0,1,1,1,1,2,20.23,1.70062
mol_58,-4.14,Cc1ccc(C)c2ccccc12,,,,,,,,,,,,,,,,,,-31.80872793,2.80863978,-32.3767435,0.099,0,-9.7934,-6.9848,-8.3891,6709.619152,163443.567475,130.95208,0.1768,0,0.166666666666666,0,0,2,0,0,0,2,0.0,3.456640000000002
mol_60,-0.19,CCCC(=O)C,,,,,,,,,,,,,,,,,,-19.86008788718249,3.823961825880476,-20.11236863139353,3.399674263410741,0,-10.730800707513987,-6.906838152181868,-8.818850159829603,1886.2952252085531,40242.81305188476,64.78935421491506,0.049702040952993,0,0.8,1,0,0,1,0,1,4,17.07,1.3755
mol_62,-0.82,CCCOC(=O)CC,,,,,,,,,,,,,,,,,,-27.113334570674745,4.823927855905307,-27.415596742574827,2.138405067170934,0,-11.240531264308732,-6.416597453195244,-8.828546889853454,3021.9187686000487,64041.08615038428,81.35311859602665,0.019363818144312,0,0.833333333333333,2,0,0,2,0,2,5,26.3,1.3496
mol_64,-0.8,Nc1ccc(O)cc1,,,,,,,,,,,,,,,,,,-23.38734453,3.53731688,-23.73031418,2.393,0,-9.5159,-5.9786,-7.7473,2621.565722,62292.209943,81.245882,0.0727,3,0.0,2,0,1,2,2,2,2,46.25,0.974399999999999
mol_1127,-3.18,CCC(C)C,,,,,,,,,,,,,,,,,,-16.83010877,13.48282854,-17.07831758,0.023,0,-11.3667,2.1161,-4.6253,1816.106216,37117.905117,63.493934,0.0,0,1.0,0,0,0,0,0,0,4,0.0,2.0524
