partial charges,mulliken charges,cm5 charges,FUKUI+,FUKUI-,FUKUIrad,s proportion,p proportion,d proportion,Coordination numbers,Dispersion coefficient C6,Polarizability alpha,FOD,FOD s proportion,FOD p proportion,FOD d proportion,DBSTEP_Vbur,total energy,HOMO-LUMO gap/eV,electronic energy,Dipole module/D,Total charge,HOMO,LUMO,Fermi-level/eV,Total dispersion C6,Total dispersion C8,Total polarizability alpha,Total FOD,NHOHCount,FractionCSP3,NOCount,NumAliphaticRings,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,TPSA,MolLogP,Name
,,,,,,,,,,,,,,,,,-13.81704272,3.9634578300000003,-14.01812757,0.835,0,-10.6082,-6.6447,-8.6265,1571.242001,48618.480444,65.064392,0.054,0,0.0,0,0,1,1,0,1,0,0.0,1.748099999999999,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_5_rdkit_boltz
,,,,,,,,,,,,,,,,,-23.69712141,3.32049555,-24.05117096,1.3679999999999999,0,-10.7667,-7.4462,-9.1064,3805.100039,110856.989023,100.286085,0.1375,0,0.0,1,0,2,2,0,2,0,12.89,2.296299999999999,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_6_rdkit_boltz
,,,,,,,,,,,,,,,,,-19.13959712,4.94364843,-19.36621283,4.422,0,-10.644400000000001,-5.7007,-8.1726,1480.21567,32389.007372,57.257636,0.016,1,0.75,2,1,0,1,1,2,0,29.1,-0.10360000000000001,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_11_rdkit_boltz
,,,,,,,,,,,,,,,,,-15.769380071371316,5.203977633088607,-16.02447681224959,0.437867249998015,0,-10.726088744000192,-5.522158585000278,-8.124111399000231,1663.4545876635061,35736.27534439691,62.74152420446155,0.011349062000015,0,0.6000000000000001,0,0,0,0,0,0,3,0.0,1.9725000000000001,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_13_rdkit_boltz
,,,,,,,,,,,,,,,,,-14.54702303,6.95834804,-14.6925511,2.341,0,-11.0571,-4.0988,-7.578,1209.289616,31697.531744,52.161938,0.0018000000000000002,0,1.0,0,0,0,0,0,1,2,0.0,1.6336,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_16_rdkit_boltz
,,,,,,,,,,,,,,,,,-20.886611360501103,11.96627291188647,-21.13904535054801,2.006559538239072,0,-11.000825143624667,0.9654570924550511,-5.017634025584808,2125.6182954080878,43664.40929708509,68.07933922819493,0.0,1,1.0,1,0,0,1,1,1,5,20.23,1.0248,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_17_rdkit_boltz
,,,,,,,,,,,,,,,,,-20.39812851,3.98425867,-20.79299392,4.246,0,-11.5139,-7.5296,-9.5217,2515.571142,63231.38999,80.590663,0.0765,0,0.0,1,0,1,1,0,1,0,23.79,1.558279999999999,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_18_rdkit_boltz
0.36186848431642504,0.374590495867468,0.31502750342865804,-0.159964269387341,-0.10599106734683501,-0.13297766836708802,1.519995533673417,2.024,1.080995533673417,3.8989732020405072,145.15273557242278,21.64183251275316,0.018997766836708,0.003,0.007,0.008,59.232401600107615,-44.14040340360737,3.181561213387048,-44.53954847616705,2.462272041375967,0,-10.075950423774938,-6.894439298413037,-8.48514497275215,13102.592678698014,414451.65811453975,180.74912524798634,0.161481018112025,0,1.0,2,0,0,5,0,6,11,18.46,3.727700000000003,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_23_rdkit_boltz
,,,,,,,,,,,,,,,,,-39.10534342952275,3.611913014807643,-39.62863514738569,2.6665397001226703,0,-9.960320198353966,-6.34838669972566,-8.154363821246793,7013.452188497346,161812.94358826804,129.75191586057872,0.092377394551131,1,0.30000000000000004,3,0,1,2,1,3,5,38.33,2.0437,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_24_rdkit_boltz
,,,,,,,,,,,,,,,,,-27.212461171706067,12.26186902654971,-27.557197140236575,1.986401187007285,0,-11.075120134338066,1.186728841661166,-4.9441636576872785,3826.3593129154297,79152.69533164265,91.45246200973051,0.0,1,1.0,1,0,0,1,1,1,7,20.23,1.9491,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_26_rdkit_boltz
,,,,,,,,,,,,,,,,,-36.60204709666217,4.656084773088907,-37.03915030773379,2.240551810172499,0,-11.165714692106986,-6.509700313072618,-8.837704290052725,6178.572141337783,130811.6490377575,116.43504343321783,0.02925502448094,0,0.8888888888888881,2,0,0,2,0,2,8,26.3,2.5199,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_30_rdkit_boltz
,,,,,,,,,,,,,,,,,-28.54806172,4.46200991,-29.02818189,0.15,0,-10.3536,-5.8916,-8.1226,5353.645269,123121.636405,114.407505,0.0422,0,0.4,0,0,1,0,0,0,4,0.0,2.811400000000001,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_31_rdkit_boltz
,,,,,,,,,,,,,,,,,-14.36857275,4.40999598,-14.46318645,1.374,0,-11.2926,-6.8826,-9.0876,1123.45351,38781.758166,52.530123,0.029,0,0.0,0,0,0,0,0,2,0,0.0,1.9352,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_34_rdkit_boltz
,,,,,,,,,,,,,,,,,-19.847160688085545,3.614776008517776,-20.096963353417408,3.374743565827308,0,-11.02958394041092,-7.414759096066714,-9.222171518238817,1899.9722532935507,40354.19550095491,65.06225171939168,0.06543185450332101,0,0.8,1,0,0,1,0,1,4,17.07,1.3755,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_36_rdkit_boltz
,,,,,,,,,,,,,,,,,-26.455944755253512,4.762151715677832,-26.756047953211343,4.002111107988117,0,-10.948853115963692,-6.186686811423609,-8.567732610485518,5731.714975164856,196908.7752378936,117.37295487529117,0.025622944913888,0,1.0,0,0,0,0,0,1,6,0.0,3.391800000000002,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_40_rdkit_boltz
,,,,,,,,,,,,,,,,,-19.82639992456442,5.184057268316746,-20.086246573788888,1.803903238570658,0,-10.886777539086832,-5.702712239594148,-8.29474488934049,1958.7926092376558,42139.91336946597,67.31409758316744,0.012799999999999001,1,0.6000000000000001,1,0,0,1,1,1,4,20.23,0.9449000000000001,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_42_rdkit_boltz
,,,,,,,,,,,,,,,,,-20.77734275,4.7702145,-20.98470654,2.564,0,-11.6983,-6.9281,-9.3132,1552.100946,32781.732924,58.275329,0.0206,0,0.75,2,0,0,2,0,2,3,26.3,0.5678000000000001,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_45_rdkit_boltz
,,,,,,,,,,,,,,,,,-27.21709485177382,11.993479650353812,-27.561819746161888,2.024974116325046,0,-10.971194398925235,1.022278474765565,-4.9744579620798355,3815.7974103948127,79057.72811463728,91.29599722174024,0.0,1,1.0,1,0,0,1,1,1,7,20.23,1.9475000000000002,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_46_rdkit_boltz
,,,,,,,,,,,,,,,,,-24.201827739732977,6.842096661372386,-24.629496316893878,0.671916266075208,0,-10.793357636841183,-3.9512620716356333,-7.372309854238408,3785.1131507326318,83344.86980617221,93.0534958457857,0.0031000000000000003,0,0.75,0,0,0,0,0,0,5,0.0,2.59,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_51_rdkit_boltz
,,,,,,,,,,,,,,,,,-23.12216111,4.22382642,-23.47483547,2.01,0,-10.2425,-6.0187,-8.1306,2810.782847,66858.731932,83.848419,0.0436,1,0.14285714285714202,1,0,1,1,1,1,2,20.23,1.70062,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_56_rdkit_boltz
,,,,,,,,,,,,,,,,,-31.80872793,2.80863978,-32.3767435,0.099,0,-9.7934,-6.9848,-8.3891,6709.619152,163443.567475,130.95208,0.1768,0,0.16666666666666602,0,0,2,0,0,0,2,0.0,3.456640000000002,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_58_rdkit_boltz
,,,,,,,,,,,,,,,,,-19.86008788718249,3.823961825880476,-20.11236863139353,3.399674263410741,0,-10.730800707513989,-6.906838152181868,-8.818850159829603,1886.2952252085533,40242.81305188476,64.78935421491506,0.04970204095299301,0,0.8,1,0,0,1,0,1,4,17.07,1.3755,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_60_rdkit_boltz
,,,,,,,,,,,,,,,,,-27.113334570674745,4.823927855905307,-27.415596742574827,2.138405067170934,0,-11.240531264308732,-6.416597453195244,-8.828546889853454,3021.9187686000487,64041.086150384275,81.35311859602665,0.019363818144312,0,0.833333333333333,2,0,0,2,0,2,5,26.3,1.3496000000000001,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_62_rdkit_boltz
,,,,,,,,,,,,,,,,,-23.38734453,3.53731688,-23.73031418,2.393,0,-9.5159,-5.9786,-7.7473,2621.565722,62292.209943,81.245882,0.0727,3,0.0,2,0,1,2,2,2,2,46.25,0.974399999999999,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_64_rdkit_boltz
,,,,,,,,,,,,,,,,,-16.83010877,13.48282854,-17.07831758,0.023,0,-11.3667,2.1161,-4.6253,1816.106216,37117.905117,63.493934,0.0,0,1.0,0,0,0,0,0,0,4,0.0,2.0524,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_1127_rdkit_boltz
